source_code,category_code,query_slug,record_kind,title,description_raw,buyer_country_raw,buyer_country_code,buyer_identity_claim_raw,published_at_raw,published_at,contact_gate,source_url,listing_url,verification_status,observed_at,snapshot_sha256,data_mode
ec21,BLUEBERRY,blueberry,DIRECT_BUY_REQUIREMENT,We Buy POUCH BEVERAGES,"We're looking for Pouch-type beverages (Green Grape, Peach, Lemon, Blueberry , Americano, etc.) - Quantity & Specifications: To be negotiated during consultation - HS Code: 2202.99.90 - Trade Terms: To be negotiated during consultation",India,,,"18 Mar, 2025",2025-03-18,premium_membership_or_login,https://importer.ec21.com/buy-lead/We_Buy_POUCH_BEVERAGES--24447332.html,https://importer.ec21.com/blueberry.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:43+00:00,b9ea02c3920201a82f89a2c217d4f48ac99829308995848fb0ea72b531e4db9a,LIVE
ec21,BLUEBERRY,blueberry,DIRECT_BUY_REQUIREMENT,Buy IQF Fruit,"We are looking for suppliers who are handling IQF blueberry and raspberry. Origin should be Chile. If anyone who can supply to us, please let me know.",Korea,,,"5 May, 2016",2016-05-05,premium_membership_or_login,https://importer.ec21.com/buy-lead/Buy_IQF_Fruit--23969492.html,https://importer.ec21.com/blueberry.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:43+00:00,b9ea02c3920201a82f89a2c217d4f48ac99829308995848fb0ea72b531e4db9a,LIVE
ec21,BLUEBERRY,blueberry,REJECTED_SELLER_OR_UNCLEAR,Buy Grain From Ukraine,We are buying natural oats and blueberry for Korea. We would like to receive your quotation with test report as well as your capacity of supply per month.,Korea,,,"18 Jul, 2014",2014-07-18,premium_membership_or_login,https://importer.ec21.com/buy-lead/Buy_Grain_From_Ukraine--23627092.html,https://importer.ec21.com/blueberry.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:43+00:00,b9ea02c3920201a82f89a2c217d4f48ac99829308995848fb0ea72b531e4db9a,LIVE
ec21,BLUEBERRY,blueberry,REJECTED_SELLER_OR_UNCLEAR,Buy HDPE Double Knotted Netting,"Hi I grow Blueberri es in New Zealand, our orchard has been covered for over 20 years with Polyethylene fishing net. I have tried bird netting supplied from other manufactures and the quality and life of these other nets have been disappointing. I found a label from our files from our old netting. It is, SANYO Fishing net Twine - Polyethylene Twine size - 400d/6 mesh size - 1-1/2' St Depth 400MD",New Zealand,,,"28 Jul, 2014",2014-07-28,premium_membership_or_login,https://importer.ec21.com/buy-lead/Buy_HDPE_Double_Knotted_Netting--23635040.html,https://importer.ec21.com/blueberry.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:43+00:00,b9ea02c3920201a82f89a2c217d4f48ac99829308995848fb0ea72b531e4db9a,LIVE
ec21,BLUEBERRY,blueberry,REJECTED_SELLER_OR_UNCLEAR,Buy Frozen Strawberry,"we have interest in importing frozen strawberries, kiwi, blueberri es to Angola who has interest can send his offer CIF Luanda / Angola",Angola,,,"21 Dec, 2014",2014-12-21,premium_membership_or_login,https://importer.ec21.com/buy-lead/Buy_Frozen_Strawberry--23732016.html,https://importer.ec21.com/blueberry.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:43+00:00,b9ea02c3920201a82f89a2c217d4f48ac99829308995848fb0ea72b531e4db9a,LIVE
ec21,BLUEBERRY,blueberry,DIRECT_BUY_REQUIREMENT,Buy Vodka,"We are looking for Grey Goose Night Edition, Belvedere SIlver Edition and Stolichnaya Blueberry . 200 cases each.",Netherlands,,,"23 May, 2014",2014-05-23,premium_membership_or_login,https://importer.ec21.com/buy-lead/Buy_Vodka--23580876.html,https://importer.ec21.com/blueberry.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:43+00:00,b9ea02c3920201a82f89a2c217d4f48ac99829308995848fb0ea72b531e4db9a,LIVE
ec21,BLUEBERRY,blueberry,DIRECT_BUY_REQUIREMENT,Buy Frozen Fruits,"Inquiry for frozen organic fruits and frozen conventional fruits we are interested in frozen organic fruits and frozen conventional fruits in top quality, Grad A, this is absolutely necessary condition. In particular, we seek to: strawberries raspberries sour cherries red currants black currants blueberri es (wild) blackberries We are further interested in long-term business relationship. The decr",Germany,,,"6 Nov, 2014",2014-11-06,premium_membership_or_login,https://importer.ec21.com/buy-lead/Buy_Frozen_Fruits--23704892.html,https://importer.ec21.com/blueberry.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:43+00:00,b9ea02c3920201a82f89a2c217d4f48ac99829308995848fb0ea72b531e4db9a,LIVE
ec21,BLUEBERRY,blueberry,DIRECT_BUY_REQUIREMENT,Buy Fresh Golden Delicious Apple,"Dear Sir I have for the past months being looking for a natinal supplier of flavour fragrances in powder form for biverages and i happened to google your address. We will be needing in other to startup or production line some flavours which are strawberry, blueberry , chocolate, peanuts, and brown suger. you can also propose to us what you have in your database Best Regard",Cameroon,,,"2 Feb, 2016",2016-02-02,premium_membership_or_login,https://importer.ec21.com/buy-lead/Buy_Fresh_Golden_Delicious_Apple--23932556.html,https://importer.ec21.com/blueberry.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:43+00:00,b9ea02c3920201a82f89a2c217d4f48ac99829308995848fb0ea72b531e4db9a,LIVE
ec21,CHILI,chili,DIRECT_BUY_REQUIREMENT,We Buy Korean Red Pepper Powder / Chili Powder,"Dear Sir/Madam, We are looking to purchase Korean red pepper powder. Please refer to the details below: * Product: Korean Red Pepper Powder / Chili Powder * Quantity: To be confirmed * Specifications: - Food-grade red pepper powder - Suitable for restaurant use and wholesale food distribution - Detailed product specifications, packaging options, shelf life, and relevant food safety certificates a",United States,US,,"10 Jun, 2026",2026-06-10,premium_membership_or_login,https://importer.ec21.com/buy-lead/We_Buy_Korean_Red_Pepper--24461131.html,https://importer.ec21.com/chili.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:47+00:00,819f0851430cf42dc09954c48fabfaac0dbfc014c1b7f6ee38102b9aace28a4a,LIVE
ec21,CHILI,chili,DIRECT_BUY_REQUIREMENT,We Buy Gochujang (Korean Red Chili Paste),We're looking for a supplier/manufacturer of Gochujang (Korean Red Chili Paste). - Item Name: Gochujang - Details: Korean red chili paste - Trade Term: FOB - Quantity: To be determined (TBD),United States,US,,"19 Aug, 2025",2025-08-19,premium_membership_or_login,https://importer.ec21.com/buy-lead/We_Buy_Gochujang_Korean_Red--24449921.html,https://importer.ec21.com/chili.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:47+00:00,819f0851430cf42dc09954c48fabfaac0dbfc014c1b7f6ee38102b9aace28a4a,LIVE
ec21,CHILI,chili,DIRECT_BUY_REQUIREMENT,We Buy Indian Hot Dried Chili Pepper,"Dear Sir We buy Indian dried hot chili pepper 1000mt, need potential seller has past performances and possible send us detail offer CIF port of Dalian China. togehther with detail specification and pictues. payment by DLC please message to sxs888888at163dotcom John Sun",China,,,"6 Jul, 2021",2021-07-06,premium_membership_or_login,https://importer.ec21.com/buy-lead/We_Buy_Indian_Hot_Dried--24328740.html,https://importer.ec21.com/chili.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:47+00:00,819f0851430cf42dc09954c48fabfaac0dbfc014c1b7f6ee38102b9aace28a4a,LIVE
ec21,CHILI,chili,DIRECT_BUY_REQUIREMENT,We Buy Whole Dried Chili Pepper,"Dear Sir/Madam, We Interested in Whole Dried Chili Pepper. If you can provide us, please contact me. Best regards, Fattah Saif",Yemen,,,"29 Jul, 2019",2019-07-29,premium_membership_or_login,https://importer.ec21.com/buy-lead/We_Buy_Whole_Dried_strong--24248410.html,https://importer.ec21.com/chili.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:47+00:00,819f0851430cf42dc09954c48fabfaac0dbfc014c1b7f6ee38102b9aace28a4a,LIVE
